epoch,dt_sec,train_loss,train_acc_motion,train_acc_rot,train_acc_shape,train_acc_exact,val_loss,val_acc_motion,val_acc_rot,val_acc_shape,val_acc_exact
59,53.6214,0.687156,0.947,0.768333,0.996667,0.727333,1.910856,0.808333,0.51,1.0,0.408333
60,53.5041,0.663261,0.949,0.768333,0.998667,0.731,2.065885,0.815,0.526667,1.0,0.436667
61,53.0065,0.628027,0.945667,0.792,0.999667,0.750667,2.000753,0.801667,0.555,1.0,0.435
62,53.4265,0.618521,0.951667,0.784667,0.999333,0.750333,2.372844,0.801667,0.525,0.95,0.4
63,53.852,0.613664,0.955333,0.787667,0.999,0.754333,2.109603,0.796667,0.51,0.998333,0.401667
64,53.4401,0.592764,0.950333,0.789,0.999333,0.751667,2.227137,0.795,0.541667,1.0,0.421667
65,53.1792,0.575238,0.958,0.796333,0.999667,0.763,2.302802,0.806667,0.53,1.0,0.431667
66,53.0899,0.577344,0.958333,0.807333,0.999667,0.775333,2.180358,0.793333,0.545,1.0,0.431667
67,52.3856,0.557634,0.953667,0.811,1.0,0.777,2.274684,0.796667,0.541667,1.0,0.421667
68,53.1227,0.53666,0.962,0.825667,0.998333,0.797333,2.332521,0.808333,0.536667,0.996667,0.436667
69,54.6176,0.528989,0.956667,0.829,0.999333,0.792333,2.410717,0.801667,0.51,0.998333,0.408333
