epoch,train_loss,val_loss,train_acc_exact,val_acc_exact,train_mae_speed,val_mae_speed,train_mae_omega,val_mae_omega,train_rmse_speed,val_rmse_speed,train_rmse_omega,val_rmse_omega,score
1,2.5027058712641397,1.8329327742258708,0.1405,0.2025,0.1088412827650706,0.06373063874741396,0.27177925054232277,0.27113777577877046,0.1407888924970296,0.0870215174783695,0.2998538841779927,0.286941536180286,0.0350657927369078
2,1.8039322271347047,1.7653863286972047,0.19766666666666666,0.19666666666666666,0.05710905759036541,0.034960768595337866,0.26879947531223297,0.28148374060789744,0.0768816006346294,0.04699296058091281,0.2934424566372325,0.30040651956480857,0.038444412065049005
3,1.7606254116694133,131.60968724568684,0.195,0.03333333333333333,0.04167458519339561,0.3191602192322413,0.267423721631368,0.3999190982182821,0.056750884450961644,0.35658119530997784,0.29021351302459014,0.4896430685922918,-0.3262063253919284
4,1.7621531976064047,10.77291285832723,0.199,0.09083333333333334,0.041757321139176684,0.056409960662325224,0.2665698018868764,0.2821256097157796,0.056784933339075694,0.08600321715230558,0.2894978552271072,0.3055051970466452,-0.07843445185571908
5,1.7531563685735068,1.71505824247996,0.20783333333333334,0.18666666666666668,0.038226478854815164,0.0256405175725619,0.265998220483462,0.2598282967011134,0.05309215604289456,0.03348004500689485,0.2890989094391553,0.2860723819214884,0.043932259529829015
6,1.7358675797780354,14.21116663614909,0.186,0.095,0.03168556170662244,0.07554722964763641,0.26659649006525676,0.30623359243075055,0.044389474150055654,0.10090213874625352,0.2881474892072216,0.3345877241097528,-0.09589041103919346
7,1.7280214109420777,1.7236378558476766,0.20933333333333334,0.19,0.02829297564427058,0.017792699138323466,0.2656265784104665,0.2759035291274389,0.041202435319823136,0.023483012472433527,0.2876011182731018,0.28541292935845897,0.04315188586711882
8,1.7336474177042642,59.34605420430501,0.19883333333333333,0.09583333333333334,0.02482717383404573,0.2847865055004756,0.26593153087298077,0.3966670556863149,0.036738581734449556,0.32004125011330736,0.2862133039457615,0.48181522460423126,-0.2448934472600619
9,1.7539488194783528,1.7118458159764607,0.20416666666666666,0.1975,0.030656385997931163,0.017373866674800714,0.26471461232503257,0.2737614474693934,0.045353812361408896,0.023592442242455564,0.2882190359467747,0.2871764100894197,0.05193234292790294
10,1.7258858057657878,1.7172857093811036,0.21183333333333335,0.19333333333333333,0.020796615066627663,0.01929082674284776,0.2661613130569458,0.2682947305838267,0.032244458699830066,0.028772399884605754,0.2869646248130288,0.28617096934035074,0.0495405546699961
11,1.7242242409388224,1.7126497348149619,0.2105,0.205,0.02391072085996469,0.0172327579682072,0.264574697971344,0.26668307701746624,0.03684496076223412,0.023239409628156064,0.2863727504273331,0.2840614198594913,0.06304208250716326
12,1.7258078072865803,1.7417861159642538,0.21566666666666667,0.19166666666666668,0.022830440965791544,0.01616310718158881,0.2645419725974401,0.2775965176026026,0.035381538813497225,0.022804322190007588,0.2862779244742392,0.2883706105958782,0.044786854274570964
13,1.7243364534378052,1.7257327524820965,0.21066666666666667,0.20333333333333334,0.0196800067362686,0.013197363652288914,0.2657216343084971,0.2556642234325409,0.033207418423933495,0.01996173772652087,0.28665824612089846,0.2873548279383621,0.06890253979091843
14,1.7135834776560466,1.728960280418396,0.22,0.18833333333333332,0.019752794470638036,0.013404600620269776,0.264414648771286,0.278875124057134,0.03257871248781262,0.02052859520225107,0.2849472218298571,0.28781379941025004,0.04219347099463144
15,1.7124937060674033,1.721244289080302,0.21716666666666667,0.19833333333333333,0.018570705343037845,0.012516318702449401,0.26477128716309867,0.25452195723851523,0.031567995462707436,0.019066106245861622,0.2845583508555793,0.2873524525638126,0.06481419536285102
16,1.7053270994822185,1.717216518719991,0.22533333333333333,0.20666666666666667,0.01764131472383936,0.018537735181550184,0.2637411759297053,0.2690306709210078,0.02927486360536123,0.026250421937918853,0.2840940730940305,0.2848773456319018,0.06288246361538768
17,1.7114262523651123,1.722737250328064,0.22066666666666668,0.18666666666666668,0.019482469387352465,0.019075288927803438,0.2635988391240438,0.26951949497063954,0.03216326359006926,0.030205412438208866,0.2837738952819265,0.28697488190809434,0.0423692747174452
18,1.70558145459493,1.715640385945638,0.22716666666666666,0.1975,0.019797914470235507,0.014719174106915792,0.26316269354025523,0.2724160446723302,0.03286871745003868,0.02273610140624227,0.28367388615043687,0.2861691616088354,0.053932390610376996
19,1.6994684079488118,1.7231833044687908,0.23266666666666666,0.1975,0.02006680862729748,0.01770538224528233,0.2632400089502335,0.26688460071881615,0.03252249574639108,0.024048240086842726,0.283355766096711,0.28609398067346314,0.055205008517950765
20,1.708977580388387,1.7268109448750815,0.23733333333333334,0.18916666666666668,0.02253608697404464,0.028830781877040863,0.2622811751365662,0.2682383950551351,0.03798471934566273,0.041398021642157556,0.28292616381363,0.2867860173790786,0.04063207820057871
