epoch,dt_sec,train_loss,train_acc_motion,train_acc_rot,train_acc_shape,train_acc_exact,val_loss,val_acc_motion,val_acc_rot,val_acc_shape,val_acc_exact
1,52.5848,2.401362,0.816667,0.331667,0.577333,0.160667,1.806485,1.0,0.358333,0.63,0.23
2,52.0138,1.746334,0.998667,0.345333,0.687667,0.236333,16.346286,0.471667,0.333333,0.5,0.07
3,51.5233,1.294712,0.994667,0.344333,0.951667,0.327,1.154947,1.0,0.326667,0.996667,0.326667
4,52.0238,1.152096,0.999667,0.331,1.0,0.330667,1.231587,1.0,0.345,0.955,0.335
5,51.9319,1.179507,0.997333,0.327,0.988,0.322333,14.764248,0.766667,0.361667,0.715,0.221667
6,51.5882,1.133448,0.999,0.327667,0.999667,0.327333,1.125034,1.0,0.308333,1.0,0.308333
7,52.0484,1.127029,0.999,0.357667,1.0,0.357,1.12347,1.0,0.333333,0.998333,0.333333
8,52.0351,1.128185,1.0,0.338333,1.0,0.338333,1.10989,1.0,0.328333,0.998333,0.326667
9,51.5534,1.127424,1.0,0.339667,0.999333,0.339667,1.130129,1.0,0.345,0.996667,0.343333
10,51.9919,1.161015,0.998,0.340333,0.983667,0.333,113.113732,0.353333,0.333333,0.5,0.06
11,52.0032,1.146522,0.998333,0.354667,0.989333,0.348667,21.965674,0.955,0.318333,0.5,0.14
12,51.5506,1.145147,0.999333,0.353,0.993,0.351,1.12422,1.0,0.315,0.998333,0.315
13,52.0658,1.113985,1.0,0.368,0.999667,0.367667,1.115117,1.0,0.336667,1.0,0.336667
14,51.5338,1.174625,0.998667,0.355667,0.98,0.346333,1.11989,1.0,0.321667,1.0,0.321667
15,52.0449,1.131262,0.999,0.349667,0.996,0.348,1.115744,1.0,0.34,1.0,0.34
16,52.0096,1.113784,0.999333,0.352333,1.0,0.351667,1.122422,1.0,0.343333,1.0,0.343333
17,51.528,1.10905,0.999667,0.362,1.0,0.361667,1.123296,1.0,0.336667,0.995,0.335
18,51.9848,1.101433,0.999,0.383333,1.0,0.383333,1.123877,1.0,0.335,1.0,0.335
19,52.051,1.101758,0.999667,0.378,1.0,0.378,1.144263,1.0,0.34,0.99,0.336667
20,51.5127,1.098848,0.999333,0.380333,0.999333,0.379667,1.125411,1.0,0.333333,1.0,0.333333
