epoch,dt_sec,train_loss,train_acc_motion,train_acc_rot,train_acc_shape,train_acc_exact,val_loss,val_acc_motion,val_acc_rot,val_acc_shape,val_acc_exact
58,46.0188,0.580704,0.974333,0.769667,0.999333,0.749667,1.521321,0.906667,0.55,1.0,0.506667
59,45.4454,0.551468,0.976,0.785333,0.998,0.766333,1.443834,0.9,0.58,0.995,0.52
60,46.0519,0.547936,0.971667,0.795667,0.998,0.774667,1.490063,0.92,0.58,0.998333,0.528333
61,46.1686,0.538085,0.975667,0.798333,0.999667,0.778333,1.52172,0.91,0.598333,0.998333,0.533333
62,46.2058,0.487813,0.982333,0.804333,0.999667,0.791,1.663457,0.911667,0.585,0.991667,0.525
63,46.1401,0.494549,0.982333,0.808,0.997333,0.791,1.56737,0.918333,0.593333,1.0,0.546667
64,45.8141,0.449423,0.982667,0.824,0.999333,0.807333,1.755187,0.901667,0.611667,1.0,0.546667
65,46.2652,0.475939,0.977333,0.82,0.999,0.802,1.630021,0.91,0.615,1.0,0.56
66,46.3223,0.430075,0.988,0.840333,0.999667,0.830333,1.697708,0.906667,0.613333,1.0,0.56
67,46.332,0.421688,0.981667,0.839333,0.999667,0.824,1.815564,0.9,0.608333,0.995,0.55
68,86.3515,0.393266,0.987667,0.849333,1.0,0.838333,1.890682,0.9,0.6,0.998333,0.541667
69,5.4308,0.4153,0.986333,0.840667,0.997667,0.827,1.709958,0.906667,0.605,0.996667,0.551667
70,46.0544,0.4354,0.982,0.838667,0.999333,0.823667,1.683949,0.911667,0.621667,0.996667,0.566667
71,46.0028,0.413606,0.98,0.856,0.998667,0.838,1.711085,0.908333,0.603333,0.996667,0.546667
72,45.9757,0.403334,0.980667,0.858333,0.997667,0.840333,2.04513,0.891667,0.613333,0.996667,0.543333
73,46.0381,0.392407,0.980667,0.866333,0.999667,0.849333,1.884493,0.906667,0.61,0.995,0.553333
74,45.4207,0.338761,0.986,0.874,0.998333,0.860333,1.917349,0.906667,0.598333,0.998333,0.545
75,46.0037,0.344899,0.988,0.873333,0.999667,0.862667,1.839482,0.898333,0.626667,0.998333,0.566667
76,46.1022,0.313796,0.988667,0.892,0.999333,0.882,1.801377,0.896667,0.618333,0.998333,0.558333
77,46.0968,0.316024,0.988333,0.884333,1.0,0.873667,1.997904,0.91,0.578333,0.996667,0.526667
78,46.0797,0.310855,0.992333,0.886333,0.999,0.879333,2.119864,0.895,0.616667,1.0,0.555
79,46.0618,0.316846,0.986667,0.893333,0.999667,0.881333,2.073728,0.908333,0.608333,0.998333,0.556667
80,45.5586,0.299559,0.984333,0.902667,0.999333,0.888333,1.977711,0.906667,0.618333,0.998333,0.568333
81,46.0936,0.289158,0.992,0.896667,0.999,0.889333,1.939413,0.915,0.61,0.996667,0.556667
82,46.0409,0.27961,0.991667,0.906333,0.999,0.899333,1.951354,0.911667,0.608333,0.998333,0.56
83,46.0462,0.299313,0.988667,0.909,0.998,0.897,2.205134,0.913333,0.611667,1.0,0.566667
84,46.0686,0.277593,0.99,0.903333,0.998667,0.893333,1.990639,0.92,0.645,0.998333,0.606667
85,45.4883,0.255983,0.990667,0.906333,0.999333,0.897333,2.15729,0.906667,0.64,0.998333,0.585
86,45.9945,0.267286,0.991667,0.909,0.998667,0.899667,2.332782,0.905,0.611667,0.998333,0.561667
87,46.1268,0.234982,0.990333,0.921,0.997667,0.909,2.024811,0.905,0.646667,0.998333,0.591667
88,46.1535,0.231337,0.992667,0.917667,0.999667,0.910667,2.139067,0.906667,0.641667,1.0,0.593333
89,46.0087,0.249975,0.988333,0.920333,0.999333,0.909,2.304142,0.915,0.633333,0.996667,0.588333
90,46.107,0.237813,0.989333,0.922333,0.999333,0.912667,2.100364,0.913333,0.625,0.99,0.57
91,45.6622,0.226965,0.988333,0.931667,0.998333,0.919333,2.222456,0.908333,0.62,0.998333,0.57
92,45.9013,0.226066,0.99,0.924667,0.999667,0.915333,2.404283,0.906667,0.636667,1.0,0.59
93,45.9705,0.189569,0.991333,0.934667,0.999,0.925667,2.087019,0.913333,0.638333,0.998333,0.588333
94,46.0662,0.227329,0.989667,0.922667,1.0,0.913333,2.207338,0.91,0.663333,0.995,0.603333
95,45.9719,0.196934,0.991667,0.939,0.999667,0.931333,2.459952,0.905,0.613333,0.998333,0.56
96,46.03,0.205977,0.991667,0.935,0.999,0.926667,2.224908,0.915,0.638333,1.0,0.591667
97,45.5059,0.18931,0.991333,0.939667,0.999333,0.931333,2.264802,0.906667,0.628333,0.995,0.566667
98,46.0616,0.209452,0.989333,0.934333,0.998,0.923333,2.606091,0.89,0.62,0.996667,0.561667
99,46.0425,0.201279,0.985667,0.943333,0.998333,0.929,2.624602,0.91,0.625,0.998333,0.581667
