epoch,train_loss,val_loss,train_acc_exact,val_acc_exact,train_mae_speed,val_mae_speed,train_mae_omega,val_mae_omega,train_rmse_speed,val_rmse_speed,train_rmse_omega,val_rmse_omega,score
1,3.4181048266092935,3.1495742003122964,0.05316666666666667,0.09916666666666667,0.2853550543785095,0.25715726216634116,0.25881924732526146,0.26178388357162474,0.3266562122055553,0.29785811386824623,0.29007576635066007,0.2902171749804631,-0.16030390620231627
2,3.0884326982498167,2.984330479303996,0.10966666666666666,0.115,0.21936092718442282,0.18084454615910847,0.2684335799217224,0.26620761315027874,0.2653388975975132,0.22681387340563972,0.29201621463034433,0.28456048016830093,-0.10852607965469362
3,3.0017568683624267,2.9800629456837973,0.12316666666666666,0.11166666666666666,0.16322630222638448,0.1268867725133896,0.2670439256032308,0.2690423138936361,0.20636489993499177,0.17119029440612155,0.2912684937091585,0.2899579377609985,-0.08629787653684617
4,2.9529051415125527,2.8932696104049684,0.12933333333333333,0.13166666666666665,0.13680007342497508,0.12621782104174295,0.2661794819831848,0.26858858664830526,0.17727201170362866,0.16517319715316714,0.2883625278457288,0.2849042125262379,-0.06573653717835745
5,2.8543917989730834,2.5436683257420856,0.17316666666666666,0.19916666666666666,0.14412776573499045,0.10191869298617046,0.26823922475179035,0.27456621249516805,0.2005140029602626,0.12832640754859947,0.2900091105022105,0.2876217926207969,0.010924213925997406
6,2.5448751211166383,2.4750414927800497,0.20333333333333334,0.20166666666666666,0.1193027021487554,0.09373692532380422,0.2664575572013855,0.2760258030891418,0.15351457833280302,0.12495749197833851,0.28928076323976887,0.28787168305054583,0.016785302460193635
7,2.4935828320185345,2.463711937268575,0.21766666666666667,0.20333333333333334,0.1086352284749349,0.09113113800684611,0.2646919078826904,0.2644823622703552,0.14087797727586612,0.11585911020020165,0.2871362545380159,0.2867735010963633,0.025526583194732694
8,2.4405873902638753,2.3794882853825885,0.23066666666666666,0.22166666666666668,0.10239495615164439,0.08615587810675303,0.2650156874656677,0.2708932518959045,0.13383550002291736,0.1153117491233314,0.2875593974772367,0.28655856627271054,0.04314210166533791
9,2.4137256940205893,2.3501879215240478,0.23483333333333334,0.2225,0.1009137647151947,0.0848029234011968,0.26352722390492755,0.2668540263175964,0.13113315298903458,0.10899536642526804,0.28500144672305455,0.28647818560156385,0.04667152514060338
10,2.3643749141693116,2.310957098007202,0.2405,0.22916666666666666,0.09874301175276438,0.08340082148710887,0.26445338010787967,0.26670722325642904,0.12877699417389415,0.10920497485433571,0.2859255055481034,0.28554871780768026,0.054112644294897705
11,2.3306735070546467,2.2878185987472532,0.25533333333333336,0.22,0.09702886923154196,0.07849105437596639,0.26480981985727947,0.2686996372540792,0.12722875809290268,0.10454984838738342,0.28522339268158864,0.28508183174514684,0.04640465418497722
12,2.311919665336609,2.262114095687866,0.25383333333333336,0.2425,0.09459032913049062,0.0733717566728592,0.2629205193519592,0.2715872573852539,0.12757997824301434,0.09624160134686409,0.28373689378951245,0.28562664304186963,0.07002049297094343
13,2.280849328041077,2.256848621368408,0.2595,0.21916666666666668,0.08695714732011159,0.07709524909655253,0.26331803687413535,0.26711110830307006,0.11475847094721738,0.09514396122254516,0.28350226875296664,0.2851722681432527,0.04706348796685539
14,2.2665751568476358,2.2469165484110514,0.2683333333333333,0.23,0.08314621448516846,0.06799976666768393,0.2628905097643534,0.2677403632799784,0.10972659303975499,0.08716601218351828,0.28329765857236594,0.28490081424764147,0.06212993502616884
15,2.244146866798401,2.2436681985855103,0.26766666666666666,0.22833333333333333,0.07990285535653432,0.06828690499067307,0.26276297346750893,0.2603152577082316,0.10469944820495852,0.0866782637329207,0.2826339223213401,0.28501738942785226,0.06403225198388099
16,2.235674238204956,2.247808504104614,0.2705,0.22666666666666666,0.07778517484664917,0.06478139926989873,0.26145029640197753,0.26928802569707233,0.10288766086221911,0.08692071824895836,0.282402101900007,0.2853066599019421,0.059631954183181124
17,2.23139270623525,2.2412137111028034,0.2713333333333333,0.22833333333333333,0.07720453186829884,0.06589237948258718,0.2614628357887268,0.2672075398763021,0.10192978761146206,0.08576051267110164,0.2818032282871112,0.28474886774714925,0.061783373653888696
18,2.224631552696228,2.236555512746175,0.283,0.23166666666666666,0.07823929750919342,0.06377709587415059,0.26088952032725016,0.2632288861274719,0.1037512478911371,0.0860731555505754,0.2816475487932462,0.28492625746456623,0.0681636756658554
19,2.2100491174062094,2.238309367497762,0.2798333333333333,0.225,0.07538975038131078,0.06473488946755727,0.25971951405207316,0.26130570729573566,0.09982054118522123,0.08607884761539072,0.28021436703696057,0.28544061495325357,0.06197970161835353
20,2.1985254367192586,2.22610391775767,0.2936666666666667,0.22333333333333333,0.07725770660241445,0.06664481967687606,0.25817456674575806,0.2656877032915751,0.1033144322544637,0.08792842659596255,0.27900583022872566,0.2841787184865889,0.05716707184910774
21,2.1664895025889077,2.1940632422765094,0.31766666666666665,0.2725,0.07735537147521973,0.07099050303300222,0.24726872205734252,0.23459280292193094,0.10260746795245665,0.09235658811078491,0.27007350709127004,0.2673035364099737,0.11970834702253344
22,2.10160862604777,2.1149813294410706,0.36483333333333334,0.315,0.07774973376592001,0.06729147811730703,0.21492853077252705,0.2145208251476288,0.10458190061466803,0.08827783534386324,0.2479968412705091,0.24530006830743503,0.17409384836753208
23,2.043144801457723,2.055091953277588,0.3868333333333333,0.36083333333333334,0.08055327419439952,0.06858371615409851,0.1850778690179189,0.17891511956850686,0.1070666249259625,0.09071617876682565,0.22706769573690752,0.22094189896221778,0.23708391547203064
24,1.9155035495758057,1.870172373453776,0.46316666666666667,0.43,0.07976704728603363,0.0702833882967631,0.12045907652378082,0.09001761754353842,0.10613926921341534,0.09219234064561621,0.16735504982508426,0.13151537703296257,0.34984949707984925
25,1.8213420788447061,1.824155314763387,0.5,0.45416666666666666,0.0787294913927714,0.06919538944959641,0.07833328515291214,0.05860587199529012,0.10478187888910773,0.09239491369337384,0.12345030568793512,0.10773296947267808,0.3902660359442234
26,1.7779977504412334,1.7958301424980163,0.5026666666666667,0.47,0.0772671637137731,0.0689654803276062,0.06128282630443573,0.049789318044980366,0.10366136976790691,0.09096284162570703,0.10245724007468403,0.09507431624862178,0.4106226008137067
