epoch,train_loss,val_loss,train_acc_exact,val_acc_exact,train_mae_speed,val_mae_speed,train_mae_omega,val_mae_omega,train_rmse_speed,val_rmse_speed,train_rmse_omega,val_rmse_omega,score
1,2.787904903093974,2.2372326493263244,0.16116666666666668,0.2708333333333333,0.17011779322226842,0.10486104875802994,0.2631761693954468,0.24664936502774557,0.21567596515670268,0.12813394566646144,0.2882772713328919,0.26970646088369243,0.09507812644044555
2,2.194517109791438,2.113367323080699,0.271,0.29,0.09202599821488062,0.07573267484704653,0.23280196857452393,0.21234279811382295,0.12234755803962279,0.09605820038308124,0.2643762818133315,0.25578241739101826,0.14596226351956523
3,2.0914226488272347,2.0770651241143545,0.31816666666666665,0.2966666666666667,0.08148587368925413,0.07198615963260332,0.22217093427975973,0.21625902930895488,0.1130031156486877,0.09742387284690641,0.2564400946112191,0.25375458300575,0.1525440721958876
4,2.028670502503713,1.9919880251089732,0.3566666666666667,0.36583333333333334,0.0737128392358621,0.0427007024983565,0.2194797310034434,0.2190690149863561,0.10447356154610081,0.06199334002402772,0.2531709178044865,0.25293771581292596,0.23494847459097706
5,1.9436909862359364,1.8653140683968863,0.3988333333333333,0.41,0.06531784765919049,0.0409205386787653,0.21784522330760955,0.22127168556054433,0.09580316993296703,0.056413541694127996,0.2507939635725268,0.25222665217323514,0.27890388788034515
6,1.7834979971249898,1.7153978367646536,0.4791666666666667,0.4791666666666667,0.0663193523188432,0.040472127323349316,0.21410678350925447,0.21628572642803193,0.09705458834786186,0.05673725141738577,0.24952443117727194,0.249274135183286,0.35078773979097605
7,1.6677617875734965,1.6076001147429149,0.5291666666666667,0.5191666666666667,0.062239728982249894,0.06324120327830314,0.21186468295256297,0.20156723002592722,0.09128895715708239,0.0885998247440822,0.2474942107438684,0.24890510879306071,0.38676245001455145
8,1.6028980644543966,1.580530438820521,0.5723333333333334,0.5708333333333333,0.061436978399753574,0.04297190343340238,0.20876774112383525,0.2106621468067169,0.0893811615205803,0.06091523498586902,0.24613162783618303,0.2470324415652294,0.44401630821327365
9,1.5358840974171957,1.5153299729029337,0.618,0.6083333333333333,0.0620808736483256,0.04976592659950256,0.205700226744016,0.20430218756198884,0.09020937684815981,0.07126993353791046,0.24238596706914517,0.24473569537853065,0.4812992762525876
10,1.4705233017603556,1.4298183341821036,0.665,0.7008333333333333,0.06224047193924586,0.0386672576268514,0.20082504812876384,0.19415321429570517,0.08864199694806171,0.052860214871318485,0.23857507051536275,0.23674447724521447,0.584423097372055
11,1.3878541175524395,1.329903483390808,0.7326666666666667,0.7583333333333333,0.06552673984567324,0.047264583657185236,0.18697061002254486,0.1718150794506073,0.09135693374977759,0.06401323437874644,0.22742054552191768,0.21811625116978192,0.6487935017794371
12,1.3170346947511038,1.272004282474518,0.7898333333333334,0.7916666666666666,0.06887162048618,0.04881629933913549,0.16863792085647583,0.1669641669591268,0.09536409822787581,0.06743717124885054,0.21070402659571133,0.20948683879652802,0.6837764335175355
13,1.2293242712815602,1.22323889931043,0.842,0.8433333333333334,0.07157180384794871,0.05318760722875595,0.14919699770212175,0.136993953982989,0.10063551098434768,0.07225579826454478,0.19142435494906007,0.1780565886158399,0.7482425527274609
14,1.1736562510331472,1.1071578552325567,0.8785,0.9083333333333333,0.07171903720498085,0.049599943906068804,0.1320479372938474,0.11778975705305736,0.09957797732145979,0.06801824185991642,0.17267777897381367,0.15727116021371929,0.8246384828537703
15,1.1197463194529216,1.0923922648032507,0.91,0.9208333333333333,0.07152839385469754,0.060556847006082534,0.1189903606971105,0.1120286065340042,0.10070496511313365,0.08181889044623064,0.15710142041819197,0.15035173811323732,0.8345406065632899
16,1.092033374508222,1.0197437743345896,0.9268333333333333,0.95,0.07039707598090172,0.049727714856465655,0.11130245677630106,0.08895480811595917,0.09970310967529997,0.06974321194626307,0.1476925324043241,0.12184614075195892,0.8806587385137875
17,1.055417931675911,1.0377801785866418,0.9426666666666667,0.94,0.06750122094154358,0.07002123296260834,0.09921207747856776,0.09435734063386918,0.09506951418088572,0.09385560482024438,0.13376405596870228,0.1295896998243915,0.8578107132017612
18,1.036790120601654,1.0390890618165334,0.953,0.9391666666666667,0.06857220997413,0.05139874865611394,0.08975896255175272,0.08987910628318786,0.0974865585712266,0.06951274668040772,0.1221908108346223,0.12895417868529105,0.8685277391970158
19,1.0150597810745239,1.0325670570135117,0.9598333333333333,0.9483333333333334,0.0629447962641716,0.04036731655399005,0.07977657558520634,0.08569920927286148,0.08842289456218236,0.056695730065556796,0.11150950998733956,0.12438618456429083,0.8853000704199077
20,0.9975509319702784,0.9648986041545868,0.9683333333333334,0.9683333333333334,0.057791817049185436,0.048675828923781715,0.0716437065800031,0.053656216114759445,0.08154881863539981,0.06497536164722797,0.10121046155552402,0.08545935730505311,0.9171673108140628
21,0.9847539724906286,0.9696055750052134,0.9728333333333333,0.9691666666666666,0.05752587499221166,0.040019875690340996,0.06297883252302805,0.05266518885890643,0.08067426764748645,0.05332303960111839,0.08951091998402352,0.07780601193388324,0.9228241343920429
22,0.9819122391939163,0.9504281292359035,0.9731666666666666,0.9758333333333333,0.05257982330520948,0.04703343098362287,0.056180440644423166,0.038582288523515064,0.0742323460464906,0.06173352306650786,0.08327609851894098,0.064040678293954,0.9330254735797644
23,0.968850455681483,0.9761196692784627,0.9775,0.9675,0.05164511704444885,0.03334032324453195,0.048257324576377866,0.05482059240341187,0.07233703316560752,0.044397820134325756,0.07357129939423898,0.08341692396507173,0.9234195421760281
24,0.96226465066274,0.9403716534376144,0.9791666666666666,0.9816666666666667,0.049520881662766136,0.027827316323916117,0.044187010089556375,0.036058240284522376,0.06914145011418496,0.03744787160613604,0.06984204656915342,0.060967693760169445,0.9497238883624475
25,0.9603096667925517,0.9544139534235001,0.9815,0.9708333333333333,0.04765248425801595,0.02968377190331618,0.03863013509909312,0.031489551973839604,0.06741833831157124,0.039984404348921906,0.06444871138984669,0.059542665472656395,0.9402466713947555
26,0.9533935179313023,0.9318762491146724,0.9818333333333333,0.9833333333333333,0.04766967676083247,0.026850304926435153,0.0333231848080953,0.024221178665757178,0.0666699803340319,0.035997949644828824,0.05833974831610772,0.04753335637909617,0.9577975915372371
