epoch,dt_sec,train_loss,train_acc_motion,train_acc_rot,train_acc_shape,train_acc_exact,val_loss,val_acc_motion,val_acc_rot,val_acc_shape,val_acc_exact
1,63.1811,2.952015,0.426667,0.343333,0.732,0.109,14.478328,0.273333,0.33,0.5,0.046667
2,59.3189,2.173309,0.553,0.341667,0.975,0.180333,2.046013,0.603333,0.34,0.946667,0.193333
3,66.4789,2.027612,0.597,0.347333,0.984667,0.202333,1.894685,0.636667,0.305,1.0,0.193333
4,67.5114,1.896731,0.672667,0.335667,0.997333,0.218,1.871893,0.705,0.315,0.99,0.226667
5,66.4321,1.86204,0.702333,0.336,0.989667,0.233333,1.753139,0.743333,0.311667,1.0,0.233333
6,66.4567,1.770337,0.732667,0.346333,0.990333,0.245667,1.712337,0.765,0.306667,0.991667,0.235
7,66.4355,1.700972,0.741667,0.347667,0.996,0.254667,1.674531,0.755,0.301667,0.995,0.218333
8,70.8359,1.663999,0.755667,0.354,0.994333,0.274,1.654665,0.785,0.316667,0.986667,0.243333
9,57.6524,1.602037,0.783667,0.353667,0.997667,0.279,1.583381,0.786667,0.318333,1.0,0.245
10,58.0627,1.578203,0.780667,0.357,0.998333,0.283333,1.552587,0.778333,0.321667,0.996667,0.25
11,57.4273,1.549894,0.800333,0.364333,0.993667,0.294,1.552634,0.795,0.321667,1.0,0.255
12,55.6516,1.55131,0.795667,0.362667,0.994333,0.289667,1.797178,0.785,0.316667,0.876667,0.21
13,55.5254,1.498271,0.810667,0.368667,0.997667,0.301,1.521903,0.801667,0.33,0.998333,0.263333
14,55.7004,1.468552,0.820667,0.365,0.998667,0.302333,1.502988,0.803333,0.32,0.998333,0.261667
15,55.6933,1.457366,0.824667,0.368667,0.997333,0.302667,1.513349,0.793333,0.328333,1.0,0.263333
16,56.0225,1.447763,0.827333,0.376333,0.999,0.315,1.493319,0.806667,0.33,1.0,0.268333
17,55.3032,1.439645,0.827667,0.377333,0.996333,0.306,1.515528,0.803333,0.32,1.0,0.258333
18,56.2595,1.412182,0.833333,0.379,1.0,0.32,1.477117,0.81,0.34,1.0,0.273333
19,56.1046,1.414363,0.831333,0.383333,0.998333,0.320667,1.572654,0.801667,0.315,0.973333,0.238333
20,56.2907,1.410112,0.841,0.405667,0.997667,0.339,1.512735,0.818333,0.32,0.998333,0.258333
21,56.7328,1.405155,0.846667,0.383333,0.996333,0.328333,1.492378,0.803333,0.335,1.0,0.27
22,56.2726,1.389044,0.844333,0.396,0.999333,0.332,1.51269,0.81,0.325,1.0,0.26
23,56.7636,1.373138,0.848333,0.406,0.999667,0.339667,1.48077,0.8,0.351667,1.0,0.271667
24,56.6145,1.362768,0.859,0.401333,0.999667,0.344,1.49938,0.825,0.351667,1.0,0.288333
25,56.273,1.364566,0.854,0.395,0.999,0.335,1.509673,0.806667,0.356667,1.0,0.288333
26,57.1986,1.3495,0.862667,0.416,0.998667,0.356667,1.547715,0.801667,0.318333,0.968333,0.248333
27,57.1867,1.343853,0.859667,0.412667,0.998,0.354333,1.488037,0.813333,0.336667,0.996667,0.28
28,56.9159,1.33285,0.863333,0.423333,0.999333,0.367333,1.562637,0.805,0.343333,0.988333,0.281667
29,57.2998,1.324355,0.862667,0.429333,0.999667,0.374333,1.523362,0.8,0.336667,1.0,0.265
30,57.037,1.329751,0.870333,0.424,0.997667,0.37,1.531968,0.813333,0.308333,1.0,0.258333
31,57.7435,1.309753,0.873667,0.419333,0.999667,0.366,1.749974,0.816667,0.328333,0.921667,0.25
32,57.3341,1.306491,0.870333,0.426,0.997333,0.373333,1.579883,0.803333,0.338333,1.0,0.283333
33,57.6111,1.3242,0.869333,0.431,0.994667,0.373,1.54742,0.826667,0.306667,1.0,0.248333
34,46.4354,1.292392,0.875,0.431333,0.998667,0.378,1.531346,0.808333,0.336667,1.0,0.276667
35,45.635,1.282798,0.881,0.436,0.999667,0.386,1.570295,0.796667,0.321667,1.0,0.251667
36,46.2231,1.277456,0.876333,0.451,0.996667,0.402,1.590715,0.806667,0.346667,0.998333,0.281667
37,46.1192,1.257282,0.881667,0.453,0.999333,0.401,1.669457,0.805,0.338333,0.996667,0.268333
38,46.5116,1.244913,0.891667,0.465,1.0,0.417667,1.569712,0.798333,0.328333,1.0,0.256667
39,46.3684,1.239155,0.891,0.460333,0.999667,0.414,1.607619,0.806667,0.348333,1.0,0.281667
