epoch,dt_sec,train_loss,train_acc_motion,train_acc_rot,train_acc_shape,train_acc_exact,val_loss,val_acc_motion,val_acc_rot,val_acc_shape,val_acc_exact
59,6191.4112,0.133107,0.998667,0.952,0.999667,0.950333,0.519877,1.0,0.848333,0.998333,0.846667
60,97.2211,0.12063,0.999333,0.954333,1.0,0.953667,0.684138,0.998333,0.813333,0.998333,0.811667
61,19.1448,0.130402,0.999,0.949667,0.999,0.947667,3.124023,0.998333,0.768333,0.786667,0.598333
62,59.1744,0.187029,0.995333,0.937,0.996333,0.929333,0.495823,1.0,0.825,1.0,0.825
63,58.709,0.114494,0.998333,0.958,0.999667,0.956,37.365104,0.7,0.616667,0.501667,0.236667
64,58.6146,0.11406,0.995667,0.961667,0.999333,0.956667,0.615466,1.0,0.82,1.0,0.82
65,58.9834,0.140545,0.999,0.950333,1.0,0.949333,0.7834,0.993333,0.8,0.993333,0.788333
66,58.7348,0.136673,0.998667,0.951333,0.999333,0.949333,0.636462,1.0,0.823333,0.996667,0.823333
67,59.1761,0.121293,0.999,0.959,0.999,0.957,0.661046,0.998333,0.816667,1.0,0.815
68,58.4571,0.161732,0.995667,0.957667,0.992333,0.946667,0.666917,0.998333,0.831667,0.988333,0.82
69,58.9014,0.13683,0.996333,0.952,1.0,0.948333,0.631255,1.0,0.811667,1.0,0.811667
70,58.8779,0.150442,0.996667,0.949333,0.999667,0.946,1.140537,0.998333,0.815,0.93,0.758333
71,58.7901,0.107132,0.998667,0.961667,0.999333,0.959667,0.636873,1.0,0.843333,1.0,0.843333
72,58.7911,0.081902,0.998333,0.971,0.998333,0.968,0.647762,1.0,0.845,1.0,0.845
73,58.7341,0.099854,0.998333,0.967667,0.999333,0.965333,0.669873,1.0,0.828333,0.986667,0.823333
74,59.2141,0.101901,0.997333,0.965667,0.998,0.961333,0.587232,1.0,0.858333,1.0,0.858333
75,58.6284,0.095877,0.997667,0.966333,0.999,0.963,0.628755,0.998333,0.856667,0.998333,0.853333
76,58.6092,0.091536,0.997667,0.970333,0.997333,0.965667,0.573488,0.998333,0.836667,1.0,0.835
77,58.5721,0.118624,0.997,0.961667,0.998,0.956667,4.140543,0.91,0.753333,0.698333,0.481667
78,59.1765,0.06579,0.998333,0.979667,0.998333,0.976333,0.727201,0.995,0.853333,1.0,0.848333
79,58.5992,0.068871,0.997667,0.979333,1.0,0.977,0.610988,0.998333,0.841667,1.0,0.84
80,58.6339,0.059743,0.997667,0.981,1.0,0.978667,1.170348,1.0,0.836667,0.931667,0.786667
81,58.9744,0.091332,0.998,0.968,0.999667,0.965667,0.789992,0.996667,0.833333,1.0,0.83
82,59.3192,0.10791,0.999,0.966667,0.999333,0.965,4.929202,0.886667,0.681667,0.783333,0.481667
83,58.4396,0.094668,0.997333,0.968667,0.999,0.965,1.050148,0.998333,0.836667,0.928333,0.78
84,58.3908,0.090391,0.998,0.976667,0.998667,0.973667,0.632468,1.0,0.858333,0.998333,0.856667
85,58.8776,0.093962,0.998,0.973333,0.995333,0.967,0.682752,1.0,0.838333,1.0,0.838333
86,58.4334,0.098507,0.997667,0.965667,0.999,0.962667,0.674867,0.996667,0.816667,0.998333,0.811667
87,58.3139,0.046328,0.999,0.986333,0.999667,0.985,0.674697,1.0,0.861667,0.998333,0.86
88,58.8812,0.04451,0.999,0.985,0.999667,0.983667,0.834033,0.995,0.815,0.99,0.803333
89,58.407,0.11248,0.997667,0.968,0.998667,0.964333,0.736792,1.0,0.84,1.0,0.84
90,58.1908,0.043742,0.998333,0.988667,1.0,0.987,0.726585,0.996667,0.851667,0.998333,0.846667
91,58.6376,0.062807,0.998,0.981667,1.0,0.979667,0.710672,1.0,0.86,1.0,0.86
92,58.3572,0.068704,0.998667,0.978333,0.998333,0.975333,0.981354,0.998333,0.85,0.94,0.798333
93,58.1864,0.114493,0.995667,0.970333,0.997667,0.963667,0.820584,0.998333,0.811667,0.996667,0.806667
94,58.6368,0.076928,0.998667,0.973,0.999,0.970667,0.637527,1.0,0.855,1.0,0.855
95,58.5882,0.070167,0.997333,0.979667,0.997667,0.975,0.669325,0.995,0.838333,1.0,0.833333
96,58.3615,0.084561,0.998667,0.975,0.998667,0.972333,0.73464,1.0,0.846667,1.0,0.846667
97,58.2613,0.039003,0.998667,0.989667,1.0,0.988333,0.651676,1.0,0.858333,1.0,0.858333
98,58.7809,0.033946,0.998667,0.989,0.999333,0.987,0.822731,0.998333,0.843333,1.0,0.841667
99,58.1481,0.053257,0.998667,0.986667,0.999333,0.984667,0.692202,1.0,0.846667,0.998333,0.846667
100,58.0781,0.02864,0.999,0.993333,0.999333,0.991667,0.71976,0.996667,0.851667,1.0,0.848333
