epoch,train_loss,val_loss,train_acc_exact,val_acc_exact,train_mae_speed,val_mae_speed,train_mae_omega,val_mae_omega,train_rmse_speed,val_rmse_speed,train_rmse_omega,val_rmse_omega,score
1,3.4262466541926067,3.214513969421387,0.0525,0.1025,0.28222488180796307,0.2604067277908325,0.257915603240331,0.2604117282231649,0.32317996634222795,0.30532253665364006,0.28838233819114967,0.2904245433852054,-0.15790922800699875
2,3.1009641599655153,2.9859180132548016,0.11183333333333334,0.11083333333333334,0.21757360100746154,0.17626993417739867,0.26640997823079426,0.27109655141830447,0.2640366873831238,0.22252350291051498,0.29031695177369493,0.2867168388337651,-0.11284990946451823
3,3.0058740917841593,2.9237327575683594,0.1235,0.12,0.1589819254875183,0.12963887214660644,0.26631482934951783,0.2691932662328084,0.20102397019733279,0.17258131434986332,0.28890728881715194,0.28419115845206255,-0.07941606918970745
4,2.8199866422017417,2.5039857387542725,0.14516666666666667,0.195,0.1337345154285431,0.10427197376887004,0.26913846397399904,0.2732100502649943,0.17356141658252955,0.13903640804110046,0.2892969323183189,0.2860774908301669,0.006258987983067843
5,2.5525596714019776,2.4683154344558718,0.196,0.225,0.12067664551734925,0.09289473136266073,0.26506474224726356,0.26980135838190716,0.15721616231193666,0.12402607291718133,0.28783772997562085,0.28414715417914393,0.04365195512771605
6,2.494847690264384,2.4361683050791423,0.22366666666666668,0.22666666666666666,0.10760396242141723,0.08878620644410451,0.2650062265396118,0.2627303711573283,0.141033194003128,0.12100866486949875,0.28691885864320904,0.2848932853087318,0.05090837786595026
7,2.448532247543335,2.395042610168457,0.22966666666666666,0.21833333333333332,0.10260438481966655,0.0851347130537033,0.26545296478271485,0.26973281462987264,0.1339419999319774,0.11453167679339829,0.28648118248180066,0.28546018593533645,0.04089956949154536
8,2.385989637374878,2.3463860034942625,0.25183333333333335,0.22666666666666666,0.10051459058125814,0.08419417977333069,0.2647475725809733,0.26920626958211263,0.13276884888458831,0.1112434601781388,0.2858738530654039,0.28586220053789535,0.04996644198894498
9,2.3357266441981,2.3069658279418945,0.24766666666666667,0.2375,0.09746389536062876,0.07774295032024384,0.2634063129425049,0.2632827170689901,0.12843747852105597,0.10370319778193064,0.2846266819113056,0.28453066167154367,0.06698716630538304
10,2.2895934279759724,2.28184814453125,0.27316666666666667,0.24166666666666667,0.09057911845048269,0.07290948371092479,0.26014454778035484,0.26571049133936564,0.11967626188138333,0.0941883061380194,0.28137933003954757,0.283127280767151,0.07235667914152147
11,2.244397846857707,2.201783633232117,0.30216666666666664,0.2875,0.08737338995933533,0.07716292083263397,0.24887681436538697,0.2427705756823222,0.1159944218013363,0.09954534273919785,0.27223595186133104,0.2635759894193893,0.1275332517425219
12,2.1614185198148093,2.155644651254018,0.33466666666666667,0.3358333333333333,0.08685652442773183,0.07127450068791708,0.2155926742553711,0.20494212508201598,0.11466341309704552,0.09319029558002292,0.24943907307385507,0.23770441514836113,0.1977250204483668
13,2.102234443028768,2.0979501803716025,0.3605,0.3625,0.08442832811673483,0.07354736069838207,0.1910247262318929,0.17920750737190247,0.11176265878490806,0.0940972822642907,0.23362561305207,0.22229975799759588,0.23612256596485773
14,2.006930176417033,2.019082752863566,0.43283333333333335,0.3975,0.08405563100179037,0.07336947878201802,0.14516850805282594,0.12334722697734833,0.11226229071394268,0.0960073189625593,0.19078518981885395,0.17358728061413195,0.2991416471203169
15,1.9145228083928425,1.9573680957158406,0.4655,0.4141666666666667,0.08423464524745941,0.07004671255747477,0.09411007002989451,0.09205121854941051,0.1126807925094677,0.09052667758151976,0.14245805564505848,0.14224701009847435,0.33311770111322403
16,1.8504093130429586,1.881795338789622,0.48383333333333334,0.43166666666666664,0.0829809518257777,0.0681849189599355,0.07507079098622005,0.06771441827217738,0.1110161040553245,0.08963414994622408,0.12260856102247497,0.11154999210838928,0.3637169980506102
17,1.8096595589319866,1.8816117644309998,0.503,0.43166666666666664,0.08099627002080281,0.070964013338089,0.06084439609448115,0.05649343421061834,0.10842858338088761,0.09396524997618878,0.10295516622268899,0.09539329268500157,0.36793794289231296
18,1.8022689803441365,1.8517673810323079,0.5073333333333333,0.445,0.08018815521399181,0.0663031295935313,0.06092609192927678,0.044802931050459543,0.1083082939938375,0.08863203810522638,0.10425088495326587,0.0861066960655998,0.3894469696780046
19,1.771938807964325,1.8507665912310283,0.5225,0.445,0.07950136359532674,0.0693387492497762,0.05094696617126465,0.05097667058308919,0.10623348955124953,0.09433856839341236,0.09014111247432037,0.09224356297635714,0.3848422900835673
