case,seed,use_tsm,n_segment,fold_div,epochs_max,best_epoch,batch_size,lr,weight_decay,normalize_regression,lambda_speed,lambda_omega,select_metric,alpha,early_stop,patience,min_delta,amp,freeze_bn,test_loss,test_acc_motion,test_acc_rot,test_acc_shape,test_acc_exact,test_mae_speed,test_rmse_speed,test_mae_omega,test_rmse_omega,test_mae_speed_denorm,test_rmse_speed_denorm,test_mae_omega_denorm,test_rmse_omega_denorm,speed_max,omega_max,_run_dir,_case
FIX_MOT_VAR_ROT,456,True,16,8,100,89,42,0.0003,0.0001,True,1.0,1.0,score,0.5,True,15,0.001,True,True,1.0206728231906892,1.0,0.9416666666666667,1.0,0.9416666666666667,0.00959356111784776,0.01719836991186536,0.06508955319722494,0.1040158382251417,0.0959356111784776,0.17198369911865358,0.6508955319722494,1.0401583822514169,10.0,10.0,runs/ResShift/Regression/BatchNorm_Freeze/with_TSM_res/FIX_MOT_VAR_ROT/20260223-145419_s456_tsm,FIX_MOT_VAR_ROT
FIX_MOT_VAR_ROT,789,True,16,8,100,85,40,0.0003,0.0001,True,1.0,1.0,score,0.5,True,15,0.001,True,True,0.9775806347529093,1.0,0.9633333333333334,1.0,0.9633333333333334,0.0029036057367920875,0.004864671817164672,0.051384171843528746,0.08206153042060212,0.029036057367920875,0.048646718171646716,0.5138417184352875,0.8206153042060211,10.0,10.0,runs/ResShift/Regression/BatchNorm_Freeze/with_TSM_res/FIX_MOT_VAR_ROT/20260223-223542_s789_tsm,FIX_MOT_VAR_ROT
VAR_MOT_FIX_ROT,123,False,16,8,100,51,40,0.0003,0.0001,True,1.0,1.0,score,0.5,True,15,0.001,True,True,2.005676770210266,0.675,0.7216666666666667,1.0,0.525,0.07433982690175374,0.10087498789264884,0.028852848410606383,0.05057599413046816,0.7433982690175374,1.0087498789264884,0.2885284841060638,0.5057599413046816,10.0,10.0,runs/ResShift/Regression/BatchNorm_Freeze/without_TSM_res/VAR_MOT_FIX_ROT/20260223-235935_s123_noTSM,VAR_MOT_FIX_ROT
VAR_MOT_FIX_ROT,456,False,16,8,100,65,40,0.0003,0.0001,True,1.0,1.0,score,0.5,True,15,0.001,True,True,2.0922259092330933,0.6791666666666667,0.6858333333333333,1.0,0.49,0.06876703490813574,0.09203980793316616,0.013726362039645513,0.04533126168338791,0.6876703490813574,0.9203980793316615,0.13726362039645512,0.45331261683387913,10.0,10.0,runs/ResShift/Regression/BatchNorm_Freeze/without_TSM_res/VAR_MOT_FIX_ROT/20260224-115539_s456_noTSM,VAR_MOT_FIX_ROT
VAR_MOT_FIX_ROT,789,False,16,8,100,58,40,0.0003,0.0001,True,1.0,1.0,score,0.5,True,15,0.001,True,True,2.0224919160207113,0.6875,0.6841666666666667,1.0,0.49083333333333334,0.06815207699934642,0.09114410135349282,0.01135065679748853,0.03903103010543433,0.6815207699934642,0.9114410135349282,0.11350656797488531,0.3903103010543433,10.0,10.0,runs/ResShift/Regression/BatchNorm_Freeze/without_TSM_res/VAR_MOT_FIX_ROT/20260224-142107_s789_noTSM,VAR_MOT_FIX_ROT
VAR_MOT_FIX_ROT,123,True,16,8,100,72,40,0.0003,0.0001,True,1.0,1.0,score,0.5,True,15,0.001,True,True,0.9875430603822072,0.9733333333333334,0.9908333333333333,1.0,0.9641666666666666,0.03908469398816427,0.05348865903973864,0.035235762099425,0.06992563776106962,0.3908469398816427,0.5348865903973864,0.35235762099425,0.6992563776106963,10.0,10.0,runs/ResShift/Regression/BatchNorm_Freeze/with_TSM_res/VAR_MOT_FIX_ROT/20260224-104127_s123_tsm,VAR_MOT_FIX_ROT
VAR_MOT_FIX_ROT,456,True,16,8,100,77,40,0.0003,0.0001,True,1.0,1.0,score,0.5,True,15,0.001,True,True,0.9833045363426208,0.985,0.9866666666666667,1.0,0.9716666666666667,0.03444563676913579,0.051926099229999946,0.049097198049227395,0.08377390771143517,0.3444563676913579,0.5192609922999994,0.490971980492274,0.8377390771143517,10.0,10.0,runs/ResShift/Regression/BatchNorm_Freeze/with_TSM_res/VAR_MOT_FIX_ROT/20260224-125517_s456_tsm,VAR_MOT_FIX_ROT
VAR_MOT_FIX_ROT,789,True,16,8,100,85,40,0.0003,0.0001,True,1.0,1.0,score,0.5,True,15,0.001,True,True,1.0137517352898915,0.9683333333333334,0.9875,1.0,0.9558333333333333,0.04372973044713338,0.06167382947513004,0.03399648557106654,0.0713827439091746,0.4372973044713338,0.6167382947513004,0.3399648557106654,0.713827439091746,10.0,10.0,runs/ResShift/Regression/BatchNorm_Freeze/with_TSM_res/VAR_MOT_FIX_ROT/20260224-151918_s789_tsm,VAR_MOT_FIX_ROT
VAR_MOT_VAR_ROT,123,False,16,8,100,62,40,0.0003,0.0001,True,1.0,1.0,score,0.5,True,15,0.001,True,True,2.4821039915084837,0.6766666666666666,0.5641666666666667,1.0,0.38916666666666666,0.07272009630997976,0.09682178092999745,0.11852837940057119,0.1702191028218972,0.7272009630997976,0.9682178092999745,1.185283794005712,1.702191028218972,10.0,10.0,runs/ResShift/Regression/BatchNorm_Freeze/without_TSM_res/VAR_MOT_VAR_ROT/20260224-165115_s123_noTSM,VAR_MOT_VAR_ROT
VAR_MOT_VAR_ROT,456,False,16,8,100,59,40,0.0003,0.0001,True,1.0,1.0,score,0.5,True,15,0.001,True,True,2.40993062655131,0.6816666666666666,0.5683333333333334,1.0,0.4075,0.07486553490161896,0.09922888796618563,0.10209239264329274,0.14684925327134982,0.7486553490161896,0.9922888796618563,1.0209239264329275,1.468492532713498,10.0,10.0,runs/ResShift/Regression/BatchNorm_Freeze/without_TSM_res/VAR_MOT_VAR_ROT/20260224-195337_s456_noTSM,VAR_MOT_VAR_ROT
VAR_MOT_VAR_ROT,789,False,16,8,100,71,40,0.0003,0.0001,True,1.0,1.0,score,0.5,True,15,0.001,True,True,2.427266307671865,0.6966666666666667,0.555,1.0,0.39416666666666667,0.07839242994785309,0.10518649467891468,0.11180963933467865,0.16060487483816038,0.7839242994785309,1.0518649467891468,1.1180963933467865,1.6060487483816037,10.0,10.0,runs/ResShift/Regression/BatchNorm_Freeze/without_TSM_res/VAR_MOT_VAR_ROT/20260225-001807_s789_noTSM,VAR_MOT_VAR_ROT
VAR_MOT_VAR_ROT,123,True,16,8,100,79,40,0.0003,0.0001,True,1.0,1.0,score,0.5,True,15,0.001,True,True,1.3115087787310282,0.9758333333333333,0.8183333333333334,1.0,0.7966666666666666,0.04754178057114283,0.06567156734616854,0.11157757739226024,0.15928251132187515,0.47541780571142833,0.6567156734616854,1.1157757739226024,1.5928251132187516,10.0,10.0,runs/ResShift/Regression/BatchNorm_Freeze/with_TSM_res/VAR_MOT_VAR_ROT/20260224-182743_s123_tsm,VAR_MOT_VAR_ROT
VAR_MOT_VAR_ROT,456,True,16,8,100,76,40,0.0003,0.0001,True,1.0,1.0,score,0.5,True,15,0.001,True,True,1.4264708518981934,0.9866666666666667,0.7633333333333333,1.0,0.7525,0.05368140608072281,0.07702392872508851,0.15449259161949158,0.21293822185157754,0.5368140608072282,0.7702392872508851,1.5449259161949158,2.1293822185157754,10.0,10.0,runs/ResShift/Regression/BatchNorm_Freeze/with_TSM_res/VAR_MOT_VAR_ROT/20260224-225317_s456_tsm,VAR_MOT_VAR_ROT
VAR_MOT_VAR_ROT,789,True,16,8,100,84,40,0.0003,0.0001,True,1.0,1.0,score,0.5,True,15,0.001,True,True,1.3165048440297444,0.9825,0.82,1.0,0.8033333333333333,0.05420612752437592,0.07498296868808019,0.1314191500345866,0.18814686441679299,0.5420612752437591,0.7498296868808019,1.314191500345866,1.8814686441679298,10.0,10.0,runs/ResShift/Regression/BatchNorm_Freeze/with_TSM_res/VAR_MOT_VAR_ROT/20260225-012049_s789_tsm,VAR_MOT_VAR_ROT
