case,test_acc_exact_mean_noTSM,test_acc_exact_mean_TSM,test_acc_exact_gain,test_acc_motion_mean_noTSM,test_acc_motion_mean_TSM,test_acc_motion_gain,test_acc_rot_mean_noTSM,test_acc_rot_mean_TSM,test_acc_rot_gain,test_acc_shape_mean_noTSM,test_acc_shape_mean_TSM,test_acc_shape_gain,test_mae_speed_denorm_mean_noTSM,test_mae_speed_denorm_mean_TSM,test_mae_speed_denorm_gain,test_mae_omega_denorm_mean_noTSM,test_mae_omega_denorm_mean_TSM,test_mae_omega_denorm_gain,test_rmse_speed_denorm_mean_noTSM,test_rmse_speed_denorm_mean_TSM,test_rmse_speed_denorm_gain,test_rmse_omega_denorm_mean_noTSM,test_rmse_omega_denorm_mean_TSM,test_rmse_omega_denorm_gain
FIX_MOT_FIX_ROT,0.439,1.0,0.561,0.6,1.0,0.4,0.66,1.0,0.34,1.0,1.0,0.0,0.2603,0.0197,0.2406,0.0521,0.073,-0.0208,0.3577,0.0492,0.3085,0.113,0.1991,-0.0862
FIX_MOT_VAR_ROT,0.359,0.947,0.588,0.601,1.0,0.399,0.576,0.947,0.371,1.0,1.0,0.0,0.2555,0.0776,0.1779,1.0842,0.6071,0.4771,0.3492,0.143,0.2063,1.5885,0.9535,0.635
VAR_MOT_FIX_ROT,0.502,0.964,0.462,0.681,0.976,0.295,0.697,0.988,0.291,1.0,1.0,0.0,0.7042,0.3909,0.3133,0.1798,0.3944,-0.2147,0.9469,0.557,0.3899,0.4498,0.7503,-0.3005
VAR_MOT_VAR_ROT,0.397,0.784,0.387,0.685,0.982,0.297,0.562,0.801,0.238,1.0,1.0,0.0,0.7533,0.5181,0.2352,1.1081,1.325,-0.2169,1.0041,0.7256,0.2785,1.5922,1.8679,-0.2756
