epoch,dt_sec,train_loss,train_acc_motion,train_acc_rot,train_acc_shape,train_acc_exact,val_loss,val_acc_motion,val_acc_rot,val_acc_shape,val_acc_exact
1,47.16,2.988662,0.406333,0.332667,0.733333,0.102333,10.212495,0.371667,0.321667,0.53,0.071667
2,46.1718,2.190697,0.543667,0.339,0.983667,0.178667,2.061877,0.668333,0.345,0.975,0.233333
3,46.3133,2.014275,0.604667,0.350667,0.999333,0.210333,1.85474,0.666667,0.353333,1.0,0.245
4,46.3918,1.915484,0.674,0.341667,0.993,0.226,2.17129,0.688333,0.341667,0.87,0.201667
5,45.8473,1.827633,0.707667,0.352667,0.994667,0.249,10.225304,0.695,0.32,0.5,0.11
6,46.5649,1.786698,0.732667,0.364333,0.987333,0.267333,1.869682,0.703333,0.36,1.0,0.256667
7,46.3717,1.759977,0.732667,0.359333,0.992667,0.256667,1.647066,0.776667,0.341667,1.0,0.283333
8,46.42,1.637816,0.765333,0.361,0.998333,0.273,1.580123,0.78,0.348333,1.0,0.265
9,45.9533,1.59194,0.784667,0.360667,0.996667,0.282333,1.658868,0.77,0.331667,0.99,0.253333
10,46.4671,1.55307,0.789,0.367333,0.998667,0.295,1.540183,0.795,0.34,1.0,0.271667
11,46.4081,1.578916,0.785,0.374,0.992,0.291,1.593258,0.785,0.313333,0.993333,0.258333
12,46.4134,1.549442,0.795,0.378667,0.991333,0.3,1.531393,0.788333,0.32,1.0,0.265
13,45.8359,1.484345,0.813667,0.383667,0.999,0.311667,1.499219,0.816667,0.363333,1.0,0.293333
14,46.4529,1.484569,0.812,0.37,0.998333,0.303333,1.501093,0.811667,0.331667,1.0,0.278333
15,46.4217,1.454486,0.832333,0.373667,0.999333,0.317,5.122656,0.785,0.32,0.76,0.196667
16,86.8261,1.450298,0.82,0.392,0.999667,0.323,1.470785,0.808333,0.345,1.0,0.286667
17,5.6081,1.427988,0.826,0.383667,0.998333,0.313333,2.316557,0.801667,0.338333,0.79,0.226667
18,46.4819,1.42971,0.816,0.397333,0.999333,0.326333,8.03159,0.765,0.336667,0.5,0.135
19,46.3462,1.417988,0.834333,0.400333,0.998667,0.331333,1.501178,0.803333,0.333333,1.0,0.268333
20,46.3243,1.405888,0.832,0.411333,0.998,0.343,1.536097,0.803333,0.346667,1.0,0.273333
21,46.3296,1.400705,0.825,0.407333,0.999333,0.335667,1.49837,0.825,0.326667,1.0,0.275
22,45.8976,1.384197,0.846,0.402667,1.0,0.336333,1.524294,0.81,0.348333,1.0,0.28
23,46.3755,1.364236,0.855,0.412667,0.999667,0.355333,1.502364,0.8,0.336667,1.0,0.275
24,46.3665,1.377818,0.845,0.418667,0.998333,0.348667,3.247138,0.808333,0.33,0.695,0.168333
25,46.2918,1.423646,0.831667,0.418667,0.994667,0.349,1.501474,0.798333,0.343333,1.0,0.281667
26,45.8135,1.355804,0.856667,0.412,0.999,0.356,1.514323,0.823333,0.33,1.0,0.273333
27,46.4502,1.335731,0.848667,0.427667,0.999667,0.369,1.511767,0.806667,0.341667,1.0,0.271667
28,46.3967,1.326928,0.86,0.422667,0.999667,0.363667,1.52472,0.811667,0.32,1.0,0.263333
