epoch,train_loss,val_loss,train_acc_exact,val_acc_exact,train_mae_speed,val_mae_speed,train_mae_omega,val_mae_omega,train_rmse_speed,val_rmse_speed,train_rmse_omega,val_rmse_omega,score
1,3.3117745161056518,2.8793696761131287,0.06166666666666667,0.10666666666666667,0.12835205201307934,0.12955089529355368,0.2614485190709432,0.27707132816314695,0.18136681168798197,0.15557427634849863,0.29170972177067633,0.29190863495156577,-0.09664444506168364
2,2.834269380569458,2.7144160187244415,0.12416666666666666,0.12583333333333332,0.11019661955038706,0.06919578631718953,0.2680025316874186,0.2616489779949188,0.13736371493043947,0.1024723681367303,0.2919353206718963,0.28830670913712325,-0.03958904882272085
3,2.7242919991016388,2.6420443654060364,0.13616666666666666,0.14666666666666667,0.07999293486277262,0.05632950743039449,0.26547004334131874,0.2639791838328044,0.10299304913261646,0.07425977535085035,0.28963109128032066,0.2865654257372279,-0.013487678964932776
4,2.6620365946292877,2.5959773004055022,0.14566666666666667,0.1475,0.06180580464998881,0.040228487849235536,0.26600575462977094,0.2636004646619161,0.07973684558751114,0.05576920737417222,0.28759971092021247,0.28483527177367207,-0.004414476255575839
5,2.5938460688591003,2.4445917272567748,0.159,0.17666666666666667,0.050367623647054036,0.04500846977035205,0.2662315624554952,0.26734965920448306,0.06532824289108559,0.06257870397645188,0.2869360142345789,0.2840407086957263,0.02048760217924911
6,2.3132519533634186,2.2056456089019774,0.207,0.20583333333333334,0.04855150846640269,0.035855523745218915,0.2673247985839844,0.2625173036257426,0.06342171582453175,0.045091292317892655,0.2872006767579104,0.2848747951171504,0.056646919647852595
7,2.2273680531978606,2.2000201177597045,0.215,0.205,0.039324032127857206,0.02777459626396497,0.2659350137710571,0.26887691775957745,0.05083397077495583,0.03626072152642553,0.28567303147249073,0.2842253298117542,0.05667424298822879
8,2.2134722011089325,2.193063577413559,0.22033333333333333,0.20166666666666666,0.03477713038523992,0.024917105336983998,0.265343390305837,0.263773136138916,0.04532341981034786,0.03359656950481419,0.2858935753553563,0.28394070743890665,0.05732154592871666
9,2.2041683490276336,2.1912408220767974,0.22716666666666666,0.21,0.031660217583179474,0.022357029741009078,0.2650253252983093,0.2708744351069132,0.041406556389232886,0.02979112864895773,0.2842107815680154,0.2843870981318861,0.06338426757603885
10,2.1991712794303893,2.186303359270096,0.22116666666666668,0.22166666666666668,0.028258905599514644,0.020544508049885432,0.26539863522847496,0.268406814734141,0.03701591451141729,0.02716610743557891,0.28452904905850207,0.2841820691195708,0.07719100527465345
