epoch,dt_sec,train_loss,train_acc_motion,train_acc_rot,train_acc_shape,train_acc_exact,val_loss,val_acc_motion,val_acc_rot,val_acc_shape,val_acc_exact
1,53.1571,2.46875,0.8,0.329667,0.577,0.156,1.778364,1.0,0.321667,0.651667,0.206667
2,52.5113,1.710059,0.996333,0.333333,0.722667,0.240667,293.986742,0.2,0.333333,0.5,0.033333
3,52.0658,1.245719,0.991667,0.336,0.975,0.324,1.164945,1.0,0.335,0.995,0.331667
4,52.5801,1.156817,0.999667,0.332667,0.998,0.331667,1.124818,1.0,0.315,1.0,0.315
5,52.6207,1.134593,0.999,0.344333,0.999667,0.344333,1.200962,1.0,0.328333,0.978333,0.323333
6,52.1065,1.148212,0.999333,0.349333,0.993,0.346,1.130092,1.0,0.335,1.0,0.335
7,52.5789,1.141233,0.999333,0.336667,0.995333,0.336,1.120035,1.0,0.346667,1.0,0.346667
8,52.0589,1.122378,1.0,0.346333,0.999667,0.346333,1.120948,1.0,0.335,1.0,0.335
9,52.6382,1.137464,0.998,0.361667,0.996333,0.360333,102.376503,0.328333,0.333333,0.5,0.053333
10,52.1827,1.136274,0.999667,0.341,0.995333,0.339667,1.123244,1.0,0.336667,1.0,0.336667
11,52.713,1.121489,0.999,0.339667,0.999667,0.339333,1.113735,1.0,0.336667,1.0,0.336667
12,52.0985,1.113123,0.999667,0.346,1.0,0.346,1.129183,1.0,0.33,1.0,0.33
13,52.6676,1.11443,0.999333,0.366667,0.999333,0.365667,2.990838,1.0,0.326667,0.58,0.19
14,52.1667,1.135471,0.998333,0.352667,0.994333,0.350667,1.123495,1.0,0.348333,1.0,0.348333
15,52.5579,1.107219,1.0,0.361333,0.999667,0.361333,1.128813,1.0,0.348333,1.0,0.348333
16,52.2046,1.103256,0.999333,0.375667,0.999667,0.375667,1.140195,1.0,0.343333,1.0,0.343333
17,52.6384,1.084179,0.999333,0.376,0.999667,0.375667,1.131241,0.986667,0.38,1.0,0.373333
18,52.1272,1.111426,0.996667,0.388333,0.993,0.384667,1.371452,1.0,0.36,0.943333,0.336667
19,52.6963,1.064648,0.999333,0.394667,0.999667,0.394,3.120018,0.983333,0.408333,0.871667,0.345
20,52.7072,1.025353,0.998667,0.428333,0.999333,0.427333,1.034537,1.0,0.403333,0.996667,0.401667
21,52.1333,1.000461,0.999333,0.44,0.999667,0.439333,1.03794,1.0,0.398333,1.0,0.398333
22,52.6526,1.05138,0.996,0.443667,0.985667,0.435667,1.070735,0.998333,0.39,1.0,0.39
