epoch,dt_sec,train_loss,train_acc_motion,train_acc_rot,train_acc_shape,train_acc_exact,val_loss,val_acc_motion,val_acc_rot,val_acc_shape,val_acc_exact
1,53.1411,2.435009,0.786,0.336667,0.567333,0.153333,1.796703,1.0,0.351667,0.658333,0.238333
2,52.6449,1.767627,0.995,0.353333,0.661,0.228,1.688447,1.0,0.35,0.72,0.261667
3,52.1623,1.419826,0.991667,0.336333,0.887333,0.293333,1.131556,1.0,0.35,1.0,0.35
4,52.6618,1.179246,0.996,0.343667,0.991333,0.340667,8.636219,0.866667,0.333333,0.5,0.138333
5,52.1825,1.171532,0.998,0.354333,0.989333,0.351,1.138653,1.0,0.37,0.996667,0.37
6,52.6077,1.126692,0.999667,0.362,0.999333,0.362,1.124804,1.0,0.321667,1.0,0.321667
7,52.1395,1.132998,0.999333,0.359667,0.996,0.356333,1.128589,1.0,0.341667,1.0,0.341667
8,52.6038,1.123666,0.998667,0.361667,0.998333,0.359667,1.119789,1.0,0.34,1.0,0.34
9,52.1316,1.11579,0.999,0.353,1.0,0.352667,1.108063,1.0,0.326667,1.0,0.326667
10,52.7009,1.129075,0.996667,0.356333,1.0,0.354667,1.129218,1.0,0.331667,1.0,0.331667
11,52.2469,1.113174,0.999333,0.364,0.999,0.363667,1.116123,1.0,0.375,1.0,0.375
12,52.6746,1.106408,0.998667,0.37,1.0,0.369667,1.128464,1.0,0.356667,0.996667,0.356667
13,52.1024,1.144134,0.999333,0.374,0.987667,0.370667,1.202441,1.0,0.33,0.971667,0.318333
14,52.586,1.36275,0.997,0.369333,0.888667,0.325333,1.130139,1.0,0.33,1.0,0.33
15,52.7736,1.112282,0.999,0.376667,0.999333,0.375667,1.121378,1.0,0.343333,1.0,0.343333
16,52.3279,1.104334,1.0,0.378,1.0,0.378,1.120709,1.0,0.38,1.0,0.38
17,52.8065,1.097942,0.999667,0.364667,0.999667,0.364667,1.113895,1.0,0.345,1.0,0.345
18,52.2126,1.093649,0.999333,0.376333,0.999667,0.376,1.121396,1.0,0.346667,1.0,0.346667
19,52.7777,1.090227,0.999667,0.386,0.999667,0.385667,1.118839,1.0,0.343333,1.0,0.343333
20,52.217,1.088991,0.998667,0.393333,0.999667,0.392667,1.143116,1.0,0.358333,0.988333,0.356667
21,52.4185,1.105471,0.998667,0.381667,0.993667,0.379,1.14373,1.0,0.318333,1.0,0.318333
22,52.5233,1.090573,0.998,0.397,0.997333,0.396,1.123103,1.0,0.36,1.0,0.36
23,52.6279,1.080758,0.999333,0.397333,0.999667,0.397333,1.108919,1.0,0.355,1.0,0.355
24,52.1406,1.058603,0.999,0.419667,1.0,0.419333,1.084817,1.0,0.366667,0.998333,0.366667
25,52.7111,1.056586,0.998,0.428,0.996,0.426,1.933941,1.0,0.388333,0.765,0.298333
26,52.106,0.998406,0.997667,0.468667,0.998667,0.466667,1.009521,0.998333,0.428333,1.0,0.426667
27,52.7714,1.012223,0.996333,0.472333,0.997667,0.469333,1.068248,1.0,0.446667,0.981667,0.436667
28,52.0783,0.939713,0.997333,0.493333,0.998667,0.491333,0.9313,1.0,0.476667,1.0,0.476667
29,52.6478,0.911953,0.998333,0.511333,0.998333,0.508333,0.859329,1.0,0.528333,1.0,0.528333
30,52.2484,0.887588,0.996333,0.564667,0.993667,0.560333,1.099163,0.951667,0.53,1.0,0.498333
31,94.1645,0.825445,0.994,0.596,0.999,0.590333,0.734824,0.998333,0.656667,0.996667,0.653333
32,10.9069,0.732733,0.990667,0.681,0.994667,0.671667,0.694169,0.996667,0.711667,0.998333,0.706667
33,52.7847,0.657401,0.994333,0.728333,0.995667,0.719333,0.522278,1.0,0.79,1.0,0.79
34,52.237,0.56068,0.993333,0.769333,0.997667,0.762333,0.497245,0.998333,0.786667,1.0,0.785
35,52.8797,0.500072,0.993,0.802333,0.999,0.795333,0.559375,1.0,0.836667,0.958333,0.795
