epoch,train_loss,val_loss,train_acc_exact,val_acc_exact,train_mae_speed,val_mae_speed,train_mae_omega,val_mae_omega,train_rmse_speed,val_rmse_speed,train_rmse_omega,val_rmse_omega,score
1,2.953400809764862,2.397520422140757,0.1405,0.2275,0.22564533869425454,0.1820555345217387,0.26420233058929443,0.26994016150633493,0.26622892582534685,0.20952807756639888,0.29011709158211707,0.2855834923543303,0.0015021519859631793
2,2.1808991130193074,15.846822932561238,0.2896666666666667,0.06333333333333334,0.1310952243010203,0.30409407913684844,0.2657833921909332,0.36735595266024273,0.16600976430982547,0.4177042526496072,0.2888699282915293,0.4163214789888698,-0.27239168256521223
3,1.8941889807383219,3.5075231178601585,0.39416666666666667,0.03333333333333333,0.1058899021744728,0.294070391257604,0.2586257067521413,0.23310246209303537,0.14151219623854475,0.3342435917264974,0.2833467140731301,0.30024730138706757,-0.23025309334198635
4,1.786138468980789,3.5087041982014973,0.464,0.03333333333333333,0.09765694193045298,0.29143884221712746,0.24271905569235483,0.23435768067836762,0.13334331419836074,0.3306381485817759,0.26926874832634873,0.2990106514710142,-0.2295649281144142
5,1.6928141213258108,3.5106122104326882,0.5126666666666667,0.03333333333333333,0.08797234082221984,0.2889952747027079,0.22658554538091025,0.23603637516498566,0.12155862826577903,0.3278215362896173,0.2582408388866485,0.2974141024552661,-0.22918249160051346
6,1.6445839258035024,3.5148454475402833,0.5555,0.03333333333333333,0.08506764564911524,0.28750536918640135,0.21863256208101908,0.23855488340059916,0.1180581038747739,0.3265702981337189,0.2515957967271947,0.29517858957538895,-0.22969679296016693
7,1.5866147032578786,3.52556916475296,0.6026666666666667,0.021666666666666667,0.08023924746116003,0.28702840050061545,0.21056813740730285,0.24216697335243226,0.11020868194371104,0.32761408553802734,0.2450743878450213,0.29224993638744157,-0.2429310202598572
8,1.5375405994256337,3.5437196270624796,0.6563333333333333,0.0225,0.08256470108032227,0.28753853499889376,0.20235569143295287,0.246677987575531,0.11284035695377538,0.3308828835690883,0.23871081366015853,0.28911085720933394,-0.2446082612872124
9,1.4548501523335775,3.5645915699005126,0.7266666666666667,0.024166666666666666,0.08058850189050039,0.288280909260114,0.1934529573917389,0.2519702462355296,0.10861178413049392,0.33521003291614154,0.2310116721124578,0.2862285023498841,-0.24595891108115514
10,1.371924208243688,3.582353984514872,0.7923333333333333,0.025,0.08639800653855007,0.2891713257630666,0.1825653358300527,0.25751758297284444,0.1156436310934803,0.3395440215874342,0.2210947591176722,0.28417001609469017,-0.24834445436795552
11,1.305406290769577,3.6003046464920043,0.831,0.029166666666666667,0.09022999483346938,0.28922580162684125,0.1715063532590866,0.2632496976852417,0.12085263384492675,0.3426730132912961,0.20999452742757377,0.28308660719167533,-0.2470710829893748
