case,test_acc_exact_gain_mean,test_acc_exact_gain_std,test_acc_exact_gain_n,test_acc_motion_gain_mean,test_acc_motion_gain_std,test_acc_motion_gain_n,test_acc_rot_gain_mean,test_acc_rot_gain_std,test_acc_rot_gain_n,test_acc_shape_gain_mean,test_acc_shape_gain_std,test_acc_shape_gain_n,test_mae_speed_denorm_gain_mean,test_mae_speed_denorm_gain_std,test_mae_speed_denorm_gain_n,test_mae_omega_denorm_gain_mean,test_mae_omega_denorm_gain_std,test_mae_omega_denorm_gain_n,test_rmse_speed_denorm_gain_mean,test_rmse_speed_denorm_gain_std,test_rmse_speed_denorm_gain_n,test_rmse_omega_denorm_gain_mean,test_rmse_omega_denorm_gain_std,test_rmse_omega_denorm_gain_n
FIX_MOT_FIX_ROT,0.5575,0.014018836534383902,3,0.39444444444444443,0.0047385339192311075,3,0.3327777777777778,0.003367876570272831,3,0.0,0.0,3,0.1943941909716361,0.012744504679650841,3,0.018870362230680057,0.012685584403765599,3,0.26747943849282674,0.015483107993031497,3,0.08808713085129827,0.02107635024268405,3
FIX_MOT_VAR_ROT,0.6061111111111112,0.008832285053102615,3,0.38972222222222225,0.006988747569671705,3,0.39305555555555555,0.011706281947614146,3,-0.0002777777777777842,0.0004811252243246993,3,0.22665630674714013,0.023956599125431872,3,0.7575641337368223,0.17046658337325574,3,0.29182785170249265,0.019573037377541413,3,1.0589647550171077,0.22049136699296198,3
VAR_MOT_FIX_ROT,0.6825000000000001,0.12210252977632267,3,0.30833333333333335,0.014018836534383966,3,0.5441666666666668,0.16577050736216956,3,0.0,0.0,3,0.28524708549181615,0.04292255481474537,3,1.8139833009957027,1.3660350786514768,3,0.33596886111110985,0.06081211185524639,3,1.9884526293491736,1.2982680201723624,3
VAR_MOT_VAR_ROT,0.5738888888888889,0.0,1,0.3208333333333334,0.0,1,0.3883333333333333,0.0,1,0.0,0.0,1,0.3102733444008563,0.0,1,0.6363825501667129,0.0,1,0.38780085356909144,0.0,1,0.7336092462458725,0.0,1
